metric,value
total_reward,323209.37435250956
total_reward_potential,399424.21576087264
avg_daily_reward,46172.767764644224
charge_hours,44.0
discharge_hours,44.0
idle_hours,80.0
avg_charge_power,285.5391927155499
avg_discharge_power,199.1883019100436
avg_charge_power_per_mflow,285.5391927155499
avg_discharge_power_per_mflow,199.1883019100436
violation_penalty,0.0
profit_without_penalty,323209.37435250956
total_violations,0.0
max_t_hh,1013.0785
min_t_lh,763.9121838353503
max_t_hc,309.67382656557436
min_t_lc,239.8255516440398
